Automotive; 2fwww.leasetrader.com.json.csv; www.carcraft.co.uk.json.csv; ege combined mpg; combined mpg; 37; 4
Automotive; 2fwww.leasetrader.com.json.csv; www.carcraft.co.uk.json.csv; ege highway mpg; extra urban mpg; 38; 7
Automotive; 2fwww.leasetrader.com.json.csv; www.carcraft.co.uk.json.csv; manufacturer 0 60mph acceleration time (seconds); 0 - 60 mph; 64; 0
Automotive; 2fwww.leasetrader.com.json.csv; www.carcraft.co.uk.json.csv; ege city mpg; urban mpg\n; 36; 16
Automotive;a30651.cmorecars.com.json.csv;adachevy.com.json.csv;engine;engine:;0;3
Automotive;a30651.cmorecars.com.json.csv;adachevy.com.json.csv;exterior color;exterior color:;1;5
Automotive;a30651.cmorecars.com.json.csv;adachevy.com.json.csv;interior color;int color:;3;6
Automotive;a30651.cmorecars.com.json.csv;adachevy.com.json.csv;mileage;mileage:;4;7
Automotive;a30651.cmorecars.com.json.csv;adachevy.com.json.csv;stock #;stock #:;5;12
Automotive;a30651.cmorecars.com.json.csv;adachevy.com.json.csv;stock #;stock:;5;13
Automotive;a30651.cmorecars.com.json.csv;adachevy.com.json.csv;transmission;transmission:;6;14
Automotive;a30651.cmorecars.com.json.csv;huntersvilleford.com.json.csv;engine;engine:;0;3
Automotive;a30651.cmorecars.com.json.csv;huntersvilleford.com.json.csv;exterior color;ext color:;1;4
Automotive;a30651.cmorecars.com.json.csv;huntersvilleford.com.json.csv;exterior color;exterior color:;1;5
Automotive;a30651.cmorecars.com.json.csv;huntersvilleford.com.json.csv;interior color;int color:;3;6
Automotive;a30651.cmorecars.com.json.csv;huntersvilleford.com.json.csv;mileage;mileage:;4;7
Automotive;a30651.cmorecars.com.json.csv;huntersvilleford.com.json.csv;stock #;stock:;5;11
Automotive;a30651.cmorecars.com.json.csv;huntersvilleford.com.json.csv;stock #;stock #:;5;10
Automotive;a30651.cmorecars.com.json.csv;huntersvilleford.com.json.csv;transmission;transmission:;6;12
Automotive;a30651.cmorecars.com.json.csv;supercarsautosales.com.json.csv;engine;engine;0;0
Automotive;a30651.cmorecars.com.json.csv;supercarsautosales.com.json.csv;exterior color;exterior color;1;1
Automotive;a30651.cmorecars.com.json.csv;supercarsautosales.com.json.csv;fuel;fuel;2;2
Automotive;a30651.cmorecars.com.json.csv;supercarsautosales.com.json.csv;interior color;interior color;3;3
Automotive;a30651.cmorecars.com.json.csv;supercarsautosales.com.json.csv;mileage;mileage;4;4
Automotive;a30651.cmorecars.com.json.csv;supercarsautosales.com.json.csv;stock #;stock #;5;5
Automotive;a30651.cmorecars.com.json.csv;supercarsautosales.com.json.csv;transmission;transmission;6;6
Automotive;a30651.cmorecars.com.json.csv;www.augustaautoandtrucksales.com.json.csv;engine;engine;0;0
Automotive;a30651.cmorecars.com.json.csv;www.augustaautoandtrucksales.com.json.csv;exterior color;exterior color;1;1
Automotive;a30651.cmorecars.com.json.csv;www.augustaautoandtrucksales.com.json.csv;mileage;mileage;4;2
Automotive;a30651.cmorecars.com.json.csv;www.augustaautoandtrucksales.com.json.csv;stock #;stock #;5;3
Automotive;a30651.cmorecars.com.json.csv;www.augustaautoandtrucksales.com.json.csv;transmission;transmission;6;4
Automotive;a30651.cmorecars.com.json.csv;cervantesauto.com.json.csv;engine;engine;0;0
Automotive;a30651.cmorecars.com.json.csv;cervantesauto.com.json.csv;exterior color;exterior color;1;1
Automotive;a30651.cmorecars.com.json.csv;cervantesauto.com.json.csv;mileage;mileage;4;2
Automotive;a30651.cmorecars.com.json.csv;cervantesauto.com.json.csv;stock #;stock #;5;3
Automotive;a30651.cmorecars.com.json.csv;cervantesauto.com.json.csv;transmission;transmission;6;4
Automotive;a30651.cmorecars.com.json.csv;hevenerscars.com.json.csv;engine;engine;0;0
Automotive;a30651.cmorecars.com.json.csv;hevenerscars.com.json.csv;exterior color;exterior color;1;1
Automotive;a30651.cmorecars.com.json.csv;hevenerscars.com.json.csv;fuel;fuel;2;2
Automotive;a30651.cmorecars.com.json.csv;hevenerscars.com.json.csv;interior color;interior color;3;3
Automotive;a30651.cmorecars.com.json.csv;hevenerscars.com.json.csv;mileage;mileage;4;4
Automotive;a30651.cmorecars.com.json.csv;hevenerscars.com.json.csv;stock #;stock #;5;5
Automotive;a30651.cmorecars.com.json.csv;hevenerscars.com.json.csv;transmission;transmission;6;6
Automotive;a30651.cmorecars.com.json.csv;irbyautosales.com.json.csv;engine;engine;0;0
Automotive;a30651.cmorecars.com.json.csv;irbyautosales.com.json.csv;exterior color;exterior color;1;1
Automotive;a30651.cmorecars.com.json.csv;irbyautosales.com.json.csv;fuel;fuel;2;2
Automotive;a30651.cmorecars.com.json.csv;irbyautosales.com.json.csv;interior color;interior color;3;3
Automotive;a30651.cmorecars.com.json.csv;irbyautosales.com.json.csv;mileage;mileage;4;4
Automotive;a30651.cmorecars.com.json.csv;irbyautosales.com.json.csv;stock #;stock #;5;5
Automotive;a30651.cmorecars.com.json.csv;irbyautosales.com.json.csv;transmission;transmission;6;6
Automotive;a30651.cmorecars.com.json.csv;www.carcraft.co.uk.json.csv;engine;engine size;0;6
Automotive;a30651.cmorecars.com.json.csv;www.carcraft.co.uk.json.csv;exterior color;colour;1;3
Automotive;a30651.cmorecars.com.json.csv;www.carcraft.co.uk.json.csv;fuel;fuel;2;8
Automotive;a30651.cmorecars.com.json.csv;www.carcraft.co.uk.json.csv;mileage;mileage;4;10
Automotive;a30651.cmorecars.com.json.csv;www.carcraft.co.uk.json.csv;transmission;transmission;6;15
Automotive;adachevy.com.json.csv;huntersvilleford.com.json.csv;body:;body:;0;0
Automotive;adachevy.com.json.csv;huntersvilleford.com.json.csv;doors:;doors:;1;1
Automotive;adachevy.com.json.csv;huntersvilleford.com.json.csv;drive:;drive:;2;2
Automotive;adachevy.com.json.csv;huntersvilleford.com.json.csv;engine:;engine:;3;3
Automotive;adachevy.com.json.csv;huntersvilleford.com.json.csv;ext color:;ext color:;4;4
Automotive;adachevy.com.json.csv;huntersvilleford.com.json.csv;exterior color:;exterior color:;5;5
Automotive;adachevy.com.json.csv;huntersvilleford.com.json.csv;int color:;int color:;6;6
Automotive;adachevy.com.json.csv;huntersvilleford.com.json.csv;mileage:;mileage:;7;7
Automotive;adachevy.com.json.csv;huntersvilleford.com.json.csv;msrp:;msrp:;10;8
Automotive;adachevy.com.json.csv;huntersvilleford.com.json.csv;price:;price:;11;9
Automotive;adachevy.com.json.csv;huntersvilleford.com.json.csv;stock #:;stock #:;12;10
Automotive;adachevy.com.json.csv;huntersvilleford.com.json.csv;stock:;stock:;13;11
Automotive;adachevy.com.json.csv;huntersvilleford.com.json.csv;stock #:;stock:;12;11
Automotive;adachevy.com.json.csv;huntersvilleford.com.json.csv;stock:;stock #:;13;10
Automotive;adachevy.com.json.csv;huntersvilleford.com.json.csv;transmission:;transmission:;14;12
Automotive;adachevy.com.json.csv;huntersvilleford.com.json.csv;vin:;vin:;15;13
Automotive;adachevy.com.json.csv;supercarsautosales.com.json.csv;engine:;engine;3;0
Automotive;adachevy.com.json.csv;supercarsautosales.com.json.csv;ext color:;exterior color;4;1
Automotive;adachevy.com.json.csv;supercarsautosales.com.json.csv;exterior color:;exterior color;5;1
Automotive;adachevy.com.json.csv;supercarsautosales.com.json.csv;int color:;interior color;6;3
Automotive;adachevy.com.json.csv;supercarsautosales.com.json.csv;mileage:;mileage;7;4
Automotive;adachevy.com.json.csv;supercarsautosales.com.json.csv;stock #:;stock #;12;5
Automotive;adachevy.com.json.csv;supercarsautosales.com.json.csv;stock:;stock #;13;5
Automotive;adachevy.com.json.csv;supercarsautosales.com.json.csv;transmission:;transmission;14;6
Automotive;adachevy.com.json.csv;www.augustaautoandtrucksales.com.json.csv;engine:;engine;3;0
Automotive;adachevy.com.json.csv;www.augustaautoandtrucksales.com.json.csv;ext color:;exterior color;4;1
Automotive;adachevy.com.json.csv;www.augustaautoandtrucksales.com.json.csv;exterior color:;exterior color;5;1
Automotive;adachevy.com.json.csv;www.augustaautoandtrucksales.com.json.csv;mileage:;mileage;7;2
Automotive;adachevy.com.json.csv;www.augustaautoandtrucksales.com.json.csv;stock #:;stock #;12;3
Automotive;adachevy.com.json.csv;www.augustaautoandtrucksales.com.json.csv;transmission:;transmission;14;4
Automotive;adachevy.com.json.csv;cervantesauto.com.json.csv;engine:;engine;3;0
Automotive;adachevy.com.json.csv;cervantesauto.com.json.csv;ext color:;exterior color;4;1
Automotive;adachevy.com.json.csv;cervantesauto.com.json.csv;exterior color:;exterior color;5;1
Automotive;adachevy.com.json.csv;cervantesauto.com.json.csv;mileage:;mileage;7;2
Automotive;adachevy.com.json.csv;cervantesauto.com.json.csv;stock #:;stock #;12;3
Automotive;adachevy.com.json.csv;cervantesauto.com.json.csv;stock:;stock #;13;3
Automotive;adachevy.com.json.csv;cervantesauto.com.json.csv;transmission:;transmission;14;4
Automotive;adachevy.com.json.csv;hevenerscars.com.json.csv;engine:;engine;3;0
Automotive;adachevy.com.json.csv;hevenerscars.com.json.csv;ext color:;exterior color;4;1
Automotive;adachevy.com.json.csv;hevenerscars.com.json.csv;exterior color:;exterior color;5;1
Automotive;adachevy.com.json.csv;hevenerscars.com.json.csv;int color:;interior color;6;3
Automotive;adachevy.com.json.csv;hevenerscars.com.json.csv;mileage:;mileage;7;4
Automotive;adachevy.com.json.csv;hevenerscars.com.json.csv;stock #:;stock #;12;5
Automotive;adachevy.com.json.csv;hevenerscars.com.json.csv;stock:;stock #;13;5
Automotive;adachevy.com.json.csv;hevenerscars.com.json.csv;transmission:;transmission;14;6
Automotive;adachevy.com.json.csv;irbyautosales.com.json.csv;engine:;engine;3;0
Automotive;adachevy.com.json.csv;irbyautosales.com.json.csv;ext color:;exterior color;4;1
Automotive;adachevy.com.json.csv;irbyautosales.com.json.csv;exterior color:;exterior color;5;1
Automotive;adachevy.com.json.csv;irbyautosales.com.json.csv;int color:;interior color;6;3
Automotive;adachevy.com.json.csv;irbyautosales.com.json.csv;mileage:;mileage;7;4
Automotive;adachevy.com.json.csv;irbyautosales.com.json.csv;stock #:;stock #;12;5
Automotive;adachevy.com.json.csv;irbyautosales.com.json.csv;stock:;stock #;13;5
Automotive;adachevy.com.json.csv;irbyautosales.com.json.csv;transmission:;transmission;14;6
Automotive;adachevy.com.json.csv;www.carcraft.co.uk.json.csv;body:;body;0;1
Automotive;adachevy.com.json.csv;www.carcraft.co.uk.json.csv;ext color:;colour;4;3
Automotive;adachevy.com.json.csv;www.carcraft.co.uk.json.csv;drive:;drivetrain;2;5
Automotive;adachevy.com.json.csv;www.carcraft.co.uk.json.csv;engine:;engine size;3;6
Automotive;adachevy.com.json.csv;www.carcraft.co.uk.json.csv;mileage:;mileage;7;10
Automotive;adachevy.com.json.csv;www.carcraft.co.uk.json.csv;doors:;no. doors;1;11
Automotive;adachevy.com.json.csv;www.carcraft.co.uk.json.csv;transmission:;transmission;14;15
Automotive;huntersvilleford.com.json.csv;supercarsautosales.com.json.csv;engine:;engine;3;0
Automotive;huntersvilleford.com.json.csv;supercarsautosales.com.json.csv;ext color:;exterior color;4;1
Automotive;huntersvilleford.com.json.csv;supercarsautosales.com.json.csv;int color:;interior color;6;3
Automotive;huntersvilleford.com.json.csv;supercarsautosales.com.json.csv;mileage:;mileage;7;4
Automotive;huntersvilleford.com.json.csv;supercarsautosales.com.json.csv;stock #:;stock #;10;5
Automotive;huntersvilleford.com.json.csv;supercarsautosales.com.json.csv;stock:;stock #;11;5
Automotive;huntersvilleford.com.json.csv;supercarsautosales.com.json.csv;transmission:;transmission;12;6
Automotive;huntersvilleford.com.json.csv;www.augustaautoandtrucksales.com.json.csv;engine:;engine;3;0
Automotive;huntersvilleford.com.json.csv;www.augustaautoandtrucksales.com.json.csv;ext color:;exterior color;4;1
Automotive;huntersvilleford.com.json.csv;www.augustaautoandtrucksales.com.json.csv;exterior color:;exterior color;5;1
Automotive;huntersvilleford.com.json.csv;www.augustaautoandtrucksales.com.json.csv;mileage:;mileage;7;2
Automotive;huntersvilleford.com.json.csv;www.augustaautoandtrucksales.com.json.csv;stock #:;stock #;10;3
Automotive;huntersvilleford.com.json.csv;www.augustaautoandtrucksales.com.json.csv;stock:;stock #;11;3
Automotive;huntersvilleford.com.json.csv;www.augustaautoandtrucksales.com.json.csv;transmission:;transmission;12;4
Automotive;huntersvilleford.com.json.csv;cervantesauto.com.json.csv;engine:;engine;3;0
Automotive;huntersvilleford.com.json.csv;cervantesauto.com.json.csv;ext color:;exterior color;4;1
Automotive;huntersvilleford.com.json.csv;cervantesauto.com.json.csv;exterior color:;exterior color;5;1
Automotive;huntersvilleford.com.json.csv;cervantesauto.com.json.csv;mileage:;mileage;7;2
Automotive;huntersvilleford.com.json.csv;cervantesauto.com.json.csv;stock #:;stock #;10;3
Automotive;huntersvilleford.com.json.csv;cervantesauto.com.json.csv;stock:;stock #;11;3
Automotive;huntersvilleford.com.json.csv;cervantesauto.com.json.csv;transmission:;transmission;12;4
Automotive;huntersvilleford.com.json.csv;hevenerscars.com.json.csv;engine:;engine;3;0
Automotive;huntersvilleford.com.json.csv;hevenerscars.com.json.csv;ext color:;exterior color;4;1
Automotive;huntersvilleford.com.json.csv;hevenerscars.com.json.csv;exterior color:;exterior color;5;1
Automotive;huntersvilleford.com.json.csv;hevenerscars.com.json.csv;int color:;interior color;6;3
Automotive;huntersvilleford.com.json.csv;hevenerscars.com.json.csv;mileage:;mileage;7;4
Automotive;huntersvilleford.com.json.csv;hevenerscars.com.json.csv;stock #:;stock #;10;5
Automotive;huntersvilleford.com.json.csv;hevenerscars.com.json.csv;stock:;stock #;11;5
Automotive;huntersvilleford.com.json.csv;hevenerscars.com.json.csv;transmission:;transmission;12;6
Automotive;huntersvilleford.com.json.csv;irbyautosales.com.json.csv;engine:;engine;3;0
Automotive;huntersvilleford.com.json.csv;irbyautosales.com.json.csv;ext color:;exterior color;4;1
Automotive;huntersvilleford.com.json.csv;irbyautosales.com.json.csv;exterior color:;exterior color;5;1
Automotive;huntersvilleford.com.json.csv;irbyautosales.com.json.csv;int color:;interior color;6;3
Automotive;huntersvilleford.com.json.csv;irbyautosales.com.json.csv;mileage:;mileage;7;4
Automotive;huntersvilleford.com.json.csv;irbyautosales.com.json.csv;stock #:;stock #;10;5
Automotive;huntersvilleford.com.json.csv;irbyautosales.com.json.csv;stock:;stock #;11;5
Automotive;huntersvilleford.com.json.csv;irbyautosales.com.json.csv;transmission:;transmission;12;6
Automotive;huntersvilleford.com.json.csv;www.carcraft.co.uk.json.csv;body:;body;0;1
Automotive;huntersvilleford.com.json.csv;www.carcraft.co.uk.json.csv;doors:;no. doors;1;11
Automotive;huntersvilleford.com.json.csv;www.carcraft.co.uk.json.csv;drive:;drivetrain;2;5
Automotive;huntersvilleford.com.json.csv;www.carcraft.co.uk.json.csv;engine:;engine size;3;6
Automotive;huntersvilleford.com.json.csv;www.carcraft.co.uk.json.csv;ext color:;colour;4;3
Automotive;huntersvilleford.com.json.csv;www.carcraft.co.uk.json.csv;exterior color:;colour;5;3
Automotive;huntersvilleford.com.json.csv;www.carcraft.co.uk.json.csv;mileage:;mileage;7;10
Automotive;huntersvilleford.com.json.csv;www.carcraft.co.uk.json.csv;transmission:;transmission;12;15
Automotive;supercarsautosales.com.json.csv;www.augustaautoandtrucksales.com.json.csv;engine;engine;0;0
Automotive;supercarsautosales.com.json.csv;www.augustaautoandtrucksales.com.json.csv;exterior color;exterior color;1;1
Automotive;supercarsautosales.com.json.csv;www.augustaautoandtrucksales.com.json.csv;mileage;mileage;4;2
Automotive;supercarsautosales.com.json.csv;www.augustaautoandtrucksales.com.json.csv;stock #;stock #;5;3
Automotive;supercarsautosales.com.json.csv;www.augustaautoandtrucksales.com.json.csv;transmission;transmission;6;4
Automotive;supercarsautosales.com.json.csv;cervantesauto.com.json.csv;engine;engine;0;0
Automotive;supercarsautosales.com.json.csv;cervantesauto.com.json.csv;exterior color;exterior color;1;1
Automotive;supercarsautosales.com.json.csv;cervantesauto.com.json.csv;mileage;mileage;4;2
Automotive;supercarsautosales.com.json.csv;cervantesauto.com.json.csv;stock #;stock #;5;3
Automotive;supercarsautosales.com.json.csv;cervantesauto.com.json.csv;transmission;transmission;6;4
Automotive;supercarsautosales.com.json.csv;hevenerscars.com.json.csv;engine;engine;0;0
Automotive;supercarsautosales.com.json.csv;hevenerscars.com.json.csv;exterior color;exterior color;1;1
Automotive;supercarsautosales.com.json.csv;hevenerscars.com.json.csv;fuel;fuel;2;2
Automotive;supercarsautosales.com.json.csv;hevenerscars.com.json.csv;interior color;interior color;3;3
Automotive;supercarsautosales.com.json.csv;hevenerscars.com.json.csv;mileage;mileage;4;4
Automotive;supercarsautosales.com.json.csv;hevenerscars.com.json.csv;stock #;stock #;5;5
Automotive;supercarsautosales.com.json.csv;hevenerscars.com.json.csv;transmission;transmission;6;6
Automotive;supercarsautosales.com.json.csv;irbyautosales.com.json.csv;engine;engine;0;0
Automotive;supercarsautosales.com.json.csv;irbyautosales.com.json.csv;exterior color;exterior color;1;1
Automotive;supercarsautosales.com.json.csv;irbyautosales.com.json.csv;fuel;fuel;2;2
Automotive;supercarsautosales.com.json.csv;irbyautosales.com.json.csv;interior color;interior color;3;3
Automotive;supercarsautosales.com.json.csv;irbyautosales.com.json.csv;mileage;mileage;4;4
Automotive;supercarsautosales.com.json.csv;irbyautosales.com.json.csv;stock #;stock #;5;5
Automotive;supercarsautosales.com.json.csv;irbyautosales.com.json.csv;transmission;transmission;6;6
Automotive;supercarsautosales.com.json.csv;www.carcraft.co.uk.json.csv;engine;engine size;0;6
Automotive;supercarsautosales.com.json.csv;www.carcraft.co.uk.json.csv;exterior color;colour;1;3
Automotive;supercarsautosales.com.json.csv;www.carcraft.co.uk.json.csv;fuel;fuel;2;8
Automotive;supercarsautosales.com.json.csv;www.carcraft.co.uk.json.csv;mileage;mileage;4;10
Automotive;supercarsautosales.com.json.csv;www.carcraft.co.uk.json.csv;transmission;transmission;6;15
Automotive;www.augustaautoandtrucksales.com.json.csv;cervantesauto.com.json.csv;engine;engine;0;0
Automotive;www.augustaautoandtrucksales.com.json.csv;cervantesauto.com.json.csv;exterior color;exterior color;1;1
Automotive;www.augustaautoandtrucksales.com.json.csv;cervantesauto.com.json.csv;mileage;mileage;2;2
Automotive;www.augustaautoandtrucksales.com.json.csv;cervantesauto.com.json.csv;stock #;stock #;3;3
Automotive;www.augustaautoandtrucksales.com.json.csv;cervantesauto.com.json.csv;transmission;transmission;4;4
Automotive;www.augustaautoandtrucksales.com.json.csv;hevenerscars.com.json.csv;engine;engine;0;0
Automotive;www.augustaautoandtrucksales.com.json.csv;hevenerscars.com.json.csv;exterior color;exterior color;1;1
Automotive;www.augustaautoandtrucksales.com.json.csv;hevenerscars.com.json.csv;mileage;mileage;2;4
Automotive;www.augustaautoandtrucksales.com.json.csv;hevenerscars.com.json.csv;stock #;stock #;3;5
Automotive;www.augustaautoandtrucksales.com.json.csv;hevenerscars.com.json.csv;transmission;transmission;4;6
Automotive;www.augustaautoandtrucksales.com.json.csv;irbyautosales.com.json.csv;engine;engine;0;0
Automotive;www.augustaautoandtrucksales.com.json.csv;irbyautosales.com.json.csv;exterior color;exterior color;1;1
Automotive;www.augustaautoandtrucksales.com.json.csv;irbyautosales.com.json.csv;mileage;mileage;2;4
Automotive;www.augustaautoandtrucksales.com.json.csv;irbyautosales.com.json.csv;stock #;stock #;3;5
Automotive;www.augustaautoandtrucksales.com.json.csv;irbyautosales.com.json.csv;transmission;transmission;4;6
Automotive;www.augustaautoandtrucksales.com.json.csv;www.carcraft.co.uk.json.csv;engine;engine size;0;6
Automotive;www.augustaautoandtrucksales.com.json.csv;www.carcraft.co.uk.json.csv;exterior color;colour;1;3
Automotive;www.augustaautoandtrucksales.com.json.csv;www.carcraft.co.uk.json.csv;mileage;mileage;2;10
Automotive;www.augustaautoandtrucksales.com.json.csv;www.carcraft.co.uk.json.csv;transmission;transmission;4;15
Automotive;cervantesauto.com.json.csv;hevenerscars.com.json.csv;engine;engine;0;0
Automotive;cervantesauto.com.json.csv;hevenerscars.com.json.csv;exterior color;exterior color;1;1
Automotive;cervantesauto.com.json.csv;hevenerscars.com.json.csv;mileage;mileage;2;4
Automotive;cervantesauto.com.json.csv;hevenerscars.com.json.csv;stock #;stock #;3;5
Automotive;cervantesauto.com.json.csv;hevenerscars.com.json.csv;transmission;transmission;4;6
Automotive;cervantesauto.com.json.csv;irbyautosales.com.json.csv;engine;engine;0;0
Automotive;cervantesauto.com.json.csv;irbyautosales.com.json.csv;exterior color;exterior color;1;1
Automotive;cervantesauto.com.json.csv;irbyautosales.com.json.csv;mileage;mileage;2;4
Automotive;cervantesauto.com.json.csv;irbyautosales.com.json.csv;stock #;stock #;3;5
Automotive;cervantesauto.com.json.csv;irbyautosales.com.json.csv;transmission;transmission;4;6
Automotive;cervantesauto.com.json.csv;www.carcraft.co.uk.json.csv;engine;engine size;0;6
Automotive;cervantesauto.com.json.csv;www.carcraft.co.uk.json.csv;exterior color;colour;1;3
Automotive;cervantesauto.com.json.csv;www.carcraft.co.uk.json.csv;mileage;mileage;2;10
Automotive;cervantesauto.com.json.csv;www.carcraft.co.uk.json.csv;transmission;transmission;4;15
Automotive;hevenerscars.com.json.csv;irbyautosales.com.json.csv;engine;engine;0;0
Automotive;hevenerscars.com.json.csv;irbyautosales.com.json.csv;exterior color;exterior color;1;1
Automotive;hevenerscars.com.json.csv;irbyautosales.com.json.csv;fuel;fuel;2;2
Automotive;hevenerscars.com.json.csv;irbyautosales.com.json.csv;interior color;interior color;3;3
Automotive;hevenerscars.com.json.csv;irbyautosales.com.json.csv;mileage;mileage;4;4
Automotive;hevenerscars.com.json.csv;irbyautosales.com.json.csv;stock #;stock #;5;5
Automotive;hevenerscars.com.json.csv;irbyautosales.com.json.csv;transmission;transmission;6;6
Automotive;hevenerscars.com.json.csv;www.carcraft.co.uk.json.csv;engine;engine size;0;6
Automotive;hevenerscars.com.json.csv;www.carcraft.co.uk.json.csv;exterior color;colour;1;3
Automotive;hevenerscars.com.json.csv;www.carcraft.co.uk.json.csv;fuel;fuel;2;8
Automotive;hevenerscars.com.json.csv;www.carcraft.co.uk.json.csv;mileage;mileage;4;10
Automotive;hevenerscars.com.json.csv;www.carcraft.co.uk.json.csv;transmission;transmission;6;15
Automotive;irbyautosales.com.json.csv;www.carcraft.co.uk.json.csv;engine;engine size;0;6
Automotive;irbyautosales.com.json.csv;www.carcraft.co.uk.json.csv;exterior color;colour;1;3
Automotive;irbyautosales.com.json.csv;www.carcraft.co.uk.json.csv;fuel;fuel;2;8
Automotive;irbyautosales.com.json.csv;www.carcraft.co.uk.json.csv;mileage;mileage;4;10
Automotive;irbyautosales.com.json.csv;www.carcraft.co.uk.json.csv;transmission;transmission;6;15
Jewelry;brightbd.com.json.csv;budkoo.com.json.csv;dimension height;item dimensions;5;7
Jewelry;brightbd.com.json.csv;budkoo.com.json.csv;dimension length;item dimensions;6;7
Jewelry;brightbd.com.json.csv;budkoo.com.json.csv;dimension width;item dimensions;7;7
Jewelry;www.rewonline.com.json.csv;budkoo.com.json.csv;manufacturer;manufacturer;1;9
Jewelry;www.rewonline.com.json.csv;budkoo.com.json.csv;model number;model;2;10
Jewelry;www.rewonline.com.json.csv;budkoo.com.json.csv;size;size;5;17
